danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.751,0.819,11,-4.372,0,0.0409,0.255,0.0,0.236,0.697,131.842,audio_features,0R6NfOiLzLj4O5VbYSJAjf,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf,172264,3
0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4
0.596,0.658,0,-7.346,1,0.036,0.0504,0.0,0.127,0.176,100.012,audio_features,1Iq8oo9XkmmvCQiGOfORiz,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,https://api.spotify.com/v1/tracks/1Iq8oo9XkmmvCQiGOfORiz,https://api.spotify.com/v1/audio-analysis/1Iq8oo9XkmmvCQiGOfORiz,229478,4
0.72,0.88,9,-2.834,1,0.101,0.0562,0.06,0.153,0.463,180.011,audio_features,05WVKTdZhlIMX4qqMLuo0f,spotify:track:05WVKTdZhlIMX4qqMLuo0f,https://api.spotify.com/v1/tracks/05WVKTdZhlIMX4qqMLuo0f,https://api.spotify.com/v1/audio-analysis/05WVKTdZhlIMX4qqMLuo0f,197333,4
0.576,0.776,3,-5.678,1,0.066,0.114,0.0,0.333,0.596,107.943,audio_features,0LMwmV37RCmBO2so0szAFs,spotify:track:0LMwmV37RCmBO2so0szAFs,https://api.spotify.com/v1/tracks/0LMwmV37RCmBO2so0szAFs,https://api.spotify.com/v1/audio-analysis/0LMwmV37RCmBO2so0szAFs,178273,4
0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,audio_features,4OMJGnvZfDvsePyCwRGO7X,spotify:track:4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/tracks/4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/audio-analysis/4OMJGnvZfDvsePyCwRGO7X,185918,4
0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,audio_features,7DSAEUvxU8FajXtRloy8M0,spotify:track:7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,200600,4
0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,audio_features,7bywjHOc0wSjGGbj04XbVi,spotify:track:7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi,196800,4
0.66,0.727,6,-4.028,0,0.0441,0.128,1.31e-05,0.524,0.418,125.023,audio_features,3h5TiWTqGxjSjFrbruPFH9,spotify:track:3h5TiWTqGxjSjFrbruPFH9,https://api.spotify.com/v1/tracks/3h5TiWTqGxjSjFrbruPFH9,https://api.spotify.com/v1/audio-analysis/3h5TiWTqGxjSjFrbruPFH9,263040,4
0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,audio_features,2KslE17cAJNHTsI2MI0jb2,spotify:track:2KslE17cAJNHTsI2MI0jb2,https://api.spotify.com/v1/tracks/2KslE17cAJNHTsI2MI0jb2,https://api.spotify.com/v1/audio-analysis/2KslE17cAJNHTsI2MI0jb2,206020,4
0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,audio_features,69phA1R4gmQsBFRQ3INW8C,spotify:track:69phA1R4gmQsBFRQ3INW8C,https://api.spotify.com/v1/tracks/69phA1R4gmQsBFRQ3INW8C,https://api.spotify.com/v1/audio-analysis/69phA1R4gmQsBFRQ3INW8C,121399,4
0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,audio_features,6wsqVwoiVH2kde4k4KKAFU,spotify:track:6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/tracks/6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/audio-analysis/6wsqVwoiVH2kde4k4KKAFU,211582,4
0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,audio_features,1odExI7RdWc4BT515LTAwj,spotify:track:1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,212954,4
0.518,0.368,11,-7.76,0,0.0353,0.855,4.9e-06,0.119,0.234,141.934,audio_features,17cia5k4BpGVlyEfqrFH50,spotify:track:17cia5k4BpGVlyEfqrFH50,https://api.spotify.com/v1/tracks/17cia5k4BpGVlyEfqrFH50,https://api.spotify.com/v1/audio-analysis/17cia5k4BpGVlyEfqrFH50,205484,4
0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324,4
0.671,0.615,1,-9.593,1,0.0955,0.00113,1.3e-06,0.211,0.109,130.031,audio_features,7sTyAjxDXq9afwfSQy6D0s,spotify:track:7sTyAjxDXq9afwfSQy6D0s,https://api.spotify.com/v1/tracks/7sTyAjxDXq9afwfSQy6D0s,https://api.spotify.com/v1/audio-analysis/7sTyAjxDXq9afwfSQy6D0s,147744,4
0.673,0.526,8,-7.612,1,0.0677,0.00172,0.0,0.3,0.303,75.505,audio_features,5GCU2LJWPzoP8Q6nexs61z,spotify:track:5GCU2LJWPzoP8Q6nexs61z,https://api.spotify.com/v1/tracks/5GCU2LJWPzoP8Q6nexs61z,https://api.spotify.com/v1/audio-analysis/5GCU2LJWPzoP8Q6nexs61z,139867,4
0.44,0.636,1,-5.73,0,0.0705,0.564,0.0,0.253,0.687,158.475,audio_features,7yfRb4seXT7w8zVMW0dXNa,spotify:track:7yfRb4seXT7w8zVMW0dXNa,https://api.spotify.com/v1/tracks/7yfRb4seXT7w8zVMW0dXNa,https://api.spotify.com/v1/audio-analysis/7yfRb4seXT7w8zVMW0dXNa,191493,4
0.774,0.818,4,-2.825,0,0.145,0.127,0.0,0.0529,0.438,142.084,audio_features,5tEaVciE2GnR28aN6W9cLS,spotify:track:5tEaVciE2GnR28aN6W9cLS,https://api.spotify.com/v1/tracks/5tEaVciE2GnR28aN6W9cLS,https://api.spotify.com/v1/audio-analysis/5tEaVciE2GnR28aN6W9cLS,209577,4
0.47,0.64,2,-7.779,1,0.32,0.0277,0.0,0.382,0.248,163.92,audio_features,7aqfrAY2p9BUSiupwk3svU,spotify:track:7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/tracks/7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/audio-analysis/7aqfrAY2p9BUSiupwk3svU,247444,4
0.78,0.41,5,-8.164,1,0.0451,0.0185,0.0,0.153,0.0585,121.919,audio_features,2Adxpr1j5lSihOCsmIfflJ,spotify:track:2Adxpr1j5lSihOCsmIfflJ,https://api.spotify.com/v1/tracks/2Adxpr1j5lSihOCsmIfflJ,https://api.spotify.com/v1/audio-analysis/2Adxpr1j5lSihOCsmIfflJ,215240,4
0.869,0.68,1,-6.233,1,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,audio_features,75IN3CtuZwTHTnZvYM4qnJ,spotify:track:75IN3CtuZwTHTnZvYM4qnJ,https://api.spotify.com/v1/tracks/75IN3CtuZwTHTnZvYM4qnJ,https://api.spotify.com/v1/audio-analysis/75IN3CtuZwTHTnZvYM4qnJ,268400,4
